[WARNING] 2025-10-24 10:26:16,605 | django.request | Not Found: /favicon.ico
[WARNING] 2025-10-24 10:26:16,607 | django.server | "GET /favicon.ico HTTP/1.1" 404 5563
[WARNING] 2025-10-24 10:30:27,759 | django.server | "GET /static/frontend/css/style_contro.css HTTP/1.1" 404 1901
[INFO] 2025-10-24 10:30:40,205 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-10-24 10:30:41,685 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[WARNING] 2025-10-24 10:30:48,615 | django.server | "GET /static/frontend/css/style_contro.css HTTP/1.1" 404 1901
[WARNING] 2025-10-24 10:30:48,930 | django.server | "GET /static/frontend/images/high-five.jpg HTTP/1.1" 404 1901
[WARNING] 2025-10-24 10:30:48,932 | django.server | "GET /static/frontend/js/contributor.js HTTP/1.1" 404 1892
[INFO] 2025-10-24 10:31:15,444 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-10-24 10:31:15,895 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[INFO] 2025-10-24 10:31:36,863 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-10-24 10:31:37,301 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[INFO] 2025-10-24 10:31:54,349 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-10-24 10:31:54,727 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[WARNING] 2025-10-24 10:32:03,947 | django.server | "GET /static/frontend/images/high-five.jpg HTTP/1.1" 404 1901
[WARNING] 2025-10-24 10:32:03,957 | django.server | "GET /static/frontend/css/style_contro.css HTTP/1.1" 404 1901
[WARNING] 2025-10-24 10:32:04,217 | django.server | "GET /static/frontend/js/contributor.js HTTP/1.1" 404 1892
[INFO] 2025-10-24 11:37:29,861 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-10-24 11:37:30,419 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[WARNING] 2025-10-24 11:37:37,024 | django.server | "GET /static/frontend/css/style_contro.css HTTP/1.1" 404 1901
[WARNING] 2025-10-24 11:37:37,036 | django.server | "GET /static/frontend/images/high-five.jpg HTTP/1.1" 404 1901
[WARNING] 2025-10-24 11:37:37,037 | django.server | "GET /static/frontend/js/contributor.js HTTP/1.1" 404 1892
[INFO] 2025-10-24 11:37:54,555 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-10-24 11:37:54,879 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[ERROR] 2025-10-24 11:38:05,029 | django.request | Internal Server Error: /dashboard/contributor/submit_content/after_submission
[ERROR] 2025-10-24 11:38:05,031 | django.server | "POST /dashboard/contributor/submit_content/after_submission HTTP/1.1" 500 88
[WARNING] 2025-10-24 12:24:13,347 | django.server | "GET /static/frontend/css/style_contro.css HTTP/1.1" 404 1901
[INFO] 2025-10-24 12:24:15,739 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-10-24 12:24:16,262 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[WARNING] 2025-10-24 12:24:23,679 | django.server | "GET /static/frontend/css/style_contro.css HTTP/1.1" 404 1901
[WARNING] 2025-10-24 12:24:23,995 | django.server | "GET /static/frontend/images/high-five.jpg HTTP/1.1" 404 1901
