[WARNING] 2025-10-30 11:25:39,138 | django.server | "GET /static/frontend/images/home.jpg HTTP/1.1" 404 1886
[WARNING] 2025-10-30 11:25:39,138 | django.server | "GET /static/frontend/css/style.css HTTP/1.1" 404 1880
[WARNING] 2025-10-30 11:25:39,442 | django.request | Not Found: /favicon.ico
[WARNING] 2025-10-30 11:25:39,448 | django.server | "GET /favicon.ico HTTP/1.1" 404 11356
[WARNING] 2025-10-30 11:27:41,035 | django.server | "GET /static/frontend/css/style.css HTTP/1.1" 404 1880
[WARNING] 2025-10-30 11:27:41,039 | django.server | "GET /static/accounts/static/images/home.jpg HTTP/1.1" 404 1907
[WARNING] 2025-10-30 11:27:43,513 | django.server | "GET /static/frontend/css/style.css HTTP/1.1" 404 1880
[WARNING] 2025-10-30 11:27:43,514 | django.server | "GET /static/accounts/static/images/home.jpg HTTP/1.1" 404 1907
[WARNING] 2025-10-30 11:27:51,208 | django.server | "GET /static/accounts/static/images/home.jpg HTTP/1.1" 404 1907
[WARNING] 2025-10-30 11:27:51,208 | django.server | "GET /static/frontend/css/style.css HTTP/1.1" 404 1880
[WARNING] 2025-10-30 11:27:58,945 | django.server | "GET /static/frontend/css/style.css HTTP/1.1" 404 1880
[WARNING] 2025-10-30 11:30:48,603 | django.server | "GET /static/frontend/css/style.css HTTP/1.1" 404 1880
[WARNING] 2025-10-30 11:33:34,912 | django.server | "GET /static/accounts/default_avatar.png HTTP/1.1" 404 1895
[WARNING] 2025-10-30 11:33:39,197 | django.server | "GET /static/frontend/css/style_contro.css HTTP/1.1" 404 1901
[WARNING] 2025-10-30 11:33:53,364 | django.server | "GET /static/accounts/default_avatar.png HTTP/1.1" 404 1895
[INFO] 2025-10-30 11:34:02,767 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-10-30 11:34:03,546 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[INFO] 2025-10-30 11:36:08,220 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-10-30 11:36:08,660 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[INFO] 2025-10-30 11:36:56,334 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-10-30 11:36:56,785 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[INFO] 2025-10-30 11:37:32,235 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-10-30 11:37:32,711 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[INFO] 2025-10-30 11:44:01,831 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-10-30 11:44:02,531 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[INFO] 2025-10-30 11:48:34,224 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
